title,genre,mood,instruments,download_url
My Master,락,화남,"['percussion', 'electric guitar', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=87cfa5aee1f241c5
Early Flight,락,화남,"['Drums', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=1db149321c536482
1968,락,화남,"['drums', 'bass', 'electric guitar', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=8fca3cc8cb64bd9f
Riffs For Days,얼터너티브 & 펑크,화남,"['drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=7c19523fd686f545
Stomp It Away,락,화남,"['Electric Guitar', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=1c5ca191833d02c3
Jakarta Riddim,힙합 & 랩,화남,"['bass', 'drums', 'tabla', 'strings', 'percussion', 'dra-ngen']",https://www.youtube.com/audiolibrary_download?vid=2e27651b9a0f3621
Get Tough,락,화남,"['drums', 'bass', 'electric guitar', 'synth']",https://www.youtube.com/audiolibrary_download?vid=4723095ddec82655
Engine Fire,락,화남,"['Electric Guitar', 'Bass', 'Drums', 'Strings']",https://www.youtube.com/audiolibrary_download?vid=1a5c01efb4469f4e
Desert Brawl,얼터너티브 & 펑크,화남,"['drums', 'bass', 'electric guitar', 'synth']",https://www.youtube.com/audiolibrary_download?vid=dfe2f55cc9349dd8
Don't Ya Bite Now,락,화남,"['electric guitar', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=2e366db5feede74b
Danger Snow,댄스 & 일렉트로닉,화남,"['synth', 'drums']",https://www.youtube.com/audiolibrary_download?vid=2f3facd689f6f653
Never You Mind,락,화남,"['electric guitar', 'bass', 'drums', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=fbaffeac4a6e6883
Electro Fight,힙합 & 랩,화남,"['synth', 'drums']",https://www.youtube.com/audiolibrary_download?vid=740145000bb3abfe
Overdrive Ride,락,화남,"['electric guitar', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=16434f014472c27a
Grey Flannel,얼터너티브 & 펑크,화남,"['drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=e0271f8d69db633f
Higher Octane,락,화남,"['drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=682b2033e7fdd941
Tuff Data,얼터너티브 & 펑크,화남,"['drums', 'bass', 'electric guitar', 'synth']",https://www.youtube.com/audiolibrary_download?vid=8d173d74094f38f3
